xmin,xmax,ymin,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,weight_below,weight_right
324,451,1825,1864,Android,PD,Smart'TAB,40.0,139,Essentielb,156.5,138,MV,FH
461,627,1825,1864,Essentielb,PD,,0.0,-1,,0.0,-1, , 
187,357,1865,1904,Smart'TAB,PD,Shipping,103.5,148,1005,132.0,140,FV,MH
367,441,1865,1904,1005,PD,,0.0,-1,,0.0,-1, , 
687,788,1825,1863,124.17,UP,0.00,144.0,149,$,69.5,142,FV,MH
798,816,1825,1863,$,UP,,0.0,-1,,0.0,-1, , 
1187,1288,1825,1863,124.17,PTWTX,0.00,144.0,150,$,69.5,144,FV,MH
1298,1316,1825,1863,$,PTWTX,,0.0,-1,,0.0,-1, , 
1687,1781,1825,1863,20.0%,TXR,0,144.0,152,24.83,244.5,146,FV,FH
1937,2020,1825,1863,24.83,undefined,0.00,144.0,153,$,60.5,147,FV,MH
2030,2048,1825,1863,$,undefined,,0.0,-1,,0.0,-1, , 
187,316,1969,2007,Shipping,undefined,,0.0,-1,,0.0,-1, , 
687,751,1969,2007,0.00,undefined,TOTAL,126.0,154,,0.0,-1,FV, 
1187,1251,1969,2007,0.00,undefined,FINAL,126.0,159,Tax,245.5,151,FV,FH
1437,1492,1969,2007,Tax,undefined,TAX,126.0,162,0,231.5,152,FV,FH
1687,1705,1969,2007,0,undefined,TAX,126.0,164,0.00,273.0,153,FV,FH
1937,2001,1969,2007,0.00,undefined,TAX,126.0,166,,0.0,-1,FV, 
687,811,2092,2136,TOTAL,undefined,GROSS,45.0,155,TOTAL,250.0,157,MV,FH
687,822,2137,2181,GROSS,undefined,AMOUNT,44.0,156,DISCOUNT,280.0,158,MV,FH
687,851,2181,2225,AMOUNT,undefined,1490.64,129.5,168,,0.0,-1,FV, 
937,1061,2092,2136,TOTAL,undefined,DISCOUNT,45.0,158,FINAL,243.0,159,MV,FH
937,1132,2137,2181,DISCOUNT,undefined,,0.0,-1,AMOUNT,234.5,161, ,FH
1187,1297,2092,2136,FINAL,undefined,AMOUNT,45.0,161,NET,103.5,160,MV,MH
1308,1383,2092,2136,NET,undefined,AMOUNT,45.0,161,TAX,129.0,162,MV,MH
1187,1351,2137,2181,AMOUNT,undefined,1788.77,173.5,170,,0.0,-1,FV, 
1437,1512,2092,2136,TAX,undefined,,0.0,-1,TYPE,96.0,163, ,MH
1522,1619,2092,2136,TYPE,undefined,,0.0,-1,TAX,154.0,164, ,FH
1687,1762,2092,2136,TAX,undefined,,0.0,-1,RATE,98.5,165, ,MH
1772,1874,2092,2136,RATE,undefined,,0.0,-1,TAX,151.5,166, ,FH
1937,2012,2092,2136,TAX,undefined,,0.0,-1,AMOUNT,129.5,167, ,MH
2022,2186,2092,2136,AMOUNT,undefined,,0.0,-1,,0.0,-1, , 
687,822,2311,2354,1490.64,TWTX,,0.0,-1,$,88.5,169, ,MH
833,853,2311,2354,$,TWTX,,0.0,-1,,0.0,-1, , 
1187,1322,2311,2354,1788.77,TA,"NAGAR,",108.5,183,$,88.5,171,FV,MH
1333,1353,2311,2354,$,TA,"NAGAR,",108.5,183,CST@,150.5,172,FV,FH
1437,1550,2311,2354,CST@,undefined,2nd,108.5,184,20.0%,246.5,173,FV,FH
1687,1793,2311,2354,20.0%,TXR,of,108.5,187,298.13,254.0,174,FV,FH
1937,2051,2311,2354,298.13,TTX,New,108.5,189,$,78.0,175,FV,MH
2062,2082,2311,2354,$,TTX,Delhi,108.5,190,,0.0,-1,FV, 
104,305,2417,2465,Registered,undefined,"110065,",48.0,192,Address,188.5,177,MV,FH
317,469,2417,2465,Address,undefined,"Delhi,",48.0,194,for,112.0,178,MV,MH
481,529,2417,2465,for,undefined,In,48.0,195,ZIP,68.0,179,MV,MH
541,605,2417,2465,ZIP,undefined,,0.0,-1,"TECHNOLOGIES,",216.0,180, ,FH
618,960,2417,2465,"TECHNOLOGIES,",undefined,,0.0,-1,"245A,",237.0,181, ,FH
972,1080,2417,2465,"245A,",undefined,,0.0,-1,SANT,121.5,182, ,MH
1092,1203,2417,2465,SANT,undefined,,0.0,-1,"NAGAR,",147.0,183, ,MH
1215,1374,2417,2465,"NAGAR,",undefined,,0.0,-1,2nd,127.0,184, ,MH
1387,1456,2417,2465,2nd,undefined,,0.0,-1,"Floor,",99.5,185, ,MH
1468,1574,2417,2465,"Floor,",undefined,,0.0,-1,East,106.5,186, ,MH
1586,1669,2417,2465,East,undefined,,0.0,-1,of,70.5,187, ,MH
1681,1715,2417,2465,of,undefined,,0.0,-1,"Kailash,",103.0,188, ,MH
1727,1875,2417,2465,"Kailash,",undefined,,0.0,-1,New,127.5,189, ,MH
1887,1970,2417,2465,New,undefined,,0.0,-1,Delhi,100.5,190, ,MH
1982,2076,2417,2465,Delhi,undefined,,0.0,-1,-,65.5,191, ,MH
2088,2101,2417,2465,-,undefined,,0.0,-1,,0.0,-1, , 
104,254,2465,2513,"110065,",undefined,,0.0,-1,New,128.5,193, ,MH
266,349,2465,2513,New,undefined,,0.0,-1,"Delhi,",106.5,194, ,MH
361,467,2465,2513,"Delhi,",undefined,,0.0,-1,In,82.0,195, ,MH
479,513,2465,2513,In,undefined,,0.0,-1,,0.0,-1, , 
104,149,3091,3135,To,undefined,For,45.0,202,return,87.5,197,MV,MH
160,268,3091,3135,return,undefined,more,45.0,203,an,86.5,198,MV,MH
279,322,3091,3135,an,undefined,DMmZXznqN,133.5,211,"item,",76.0,199,FV,MH
333,420,3091,3135,"item,",undefined,information,45.0,204,visit,92.0,200,MV,MH
431,506,3091,3135,visit,undefined,information,45.0,204,,0.0,-1,MV, 
516,1041,3091,3135,http://www.amazon.in/returns,undefined,http://,45.0,209,,0.0,-1,MV, 
104,164,3136,3180,For,undefined,,0.0,-1,more,86.5,203, ,MH
175,266,3136,3180,more,undefined,DMmZXznqN,88.5,211,information,159.5,204,MV,FH
277,483,3136,3180,information,undefined,of,88.5,213,on,135.5,205,MV,MH
493,538,3136,3180,on,undefined,www.amazon.in/your-account,44.0,210,your,75.0,206,MV,MH
550,631,3136,3180,your,undefined,www.amazon.in/your-account,44.0,210,"orders,",114.0,207,MV,MH
641,768,3136,3180,"orders,",undefined,std-in-remote,88.5,216,visit,112.0,208,MV,MH
779,854,3136,3180,visit,undefined,1005-17:40,88.5,218,http://,99.5,209,MV,MH
864,968,3136,3180,http://,undefined,1005-17:40,88.5,218,,0.0,-1,MV, 
104,633,3180,3224,www.amazon.in/your-account,undefined,std-in-remote,44.5,216,,0.0,-1,MV, 
104,328,3225,3268,DMmZXznqN,undefined,,0.0,-1,/-1,144.5,212, ,MH
339,382,3225,3268,/-1,undefined,,0.0,-1,of,48.0,213, ,NH
393,424,3225,3268,of,undefined,,0.0,-1,1,36.5,214, ,NH
435,455,3225,3268,1,undefined,,0.0,-1,-//,37.5,215, ,NH
466,499,3225,3268,-//,undefined,,0.0,-1,std-in-remote,137.5,216, ,MH
510,730,3225,3268,std-in-remote,undefined,,0.0,-1,/,126.0,217, ,MH
741,751,3225,3268,/,undefined,,0.0,-1,1005-17:40,110.5,218, ,MH
762,951,3225,3268,1005-17:40,undefined,,0.0,-1,/,110.5,219, ,MH
962,972,3225,3268,/,undefined,,0.0,-1,1006-09:30,110.5,220, ,MH
983,1172,3225,3268,1006-09:30,undefined,,0.0,-1,,0.0,-1, , 
